group,model_version,feature_version,n_features,best_epoch,nmae,ficr,score
1,v1,all,111,1,0.20721553784942282,0.09639940759804606,0.44459193487431165
1,v2,all,111,1,0.20611884178182424,0.10285775439915493,0.4483694563086653
1,v3,all,111,21,0.20369935642265835,0.13714915669317437,0.466724900135258
1,v1,corr_filtered,104,15,0.2014171906301884,0.13184401074426164,0.46521341005703665
1,v2,corr_filtered,104,10,0.20286587723541083,0.15223504487193343,0.4746845838182613
1,v3,corr_filtered,104,1,0.21045862955475203,0.10295751046521813,0.44624944045523307
1,v1,pca,6,3,0.20937290535406536,0.10267784398135528,0.44665246931364494
1,v2,pca,6,11,0.21024710584665204,0.13663754311593893,0.4631952186346434
1,v3,pca,6,19,0.20371547308730903,0.1330081799022595,0.4646463534074753
1,v1,tree_importance,39,6,0.20466994243245645,0.0953661468630441,0.4453481022152938
1,v2,tree_importance,39,2,0.21174537990090742,0.11202386092874593,0.45013924051391924
1,v3,tree_importance,39,11,0.20600114065421224,0.14081515575519768,0.4674070075504927
2,v1,all,111,1,0.2203157679214279,0.08444641972887265,0.4320653259037224
2,v2,all,111,1,0.219663258566686,0.09152700619616004,0.435931873814737
2,v3,all,111,12,0.21301017838348243,0.18045026639979087,0.4837200440081542
2,v1,corr_filtered,104,15,0.2111552344663194,0.18148232950925702,0.4851635475214688
2,v2,corr_filtered,104,10,0.22046027283556757,0.21208480438762767,0.49581226577603005
2,v3,corr_filtered,104,6,0.22287689182447804,0.09953867026393468,0.43833088921972835
2,v1,pca,6,5,0.220552188342643,0.11359101303069878,0.44651941234402787
2,v2,pca,6,5,0.22086301692210725,0.09782269009119711,0.4384798365845449
2,v3,pca,6,12,0.21684033732290475,0.18644641922254437,0.4848030409498198
2,v1,tree_importance,39,6,0.21865568461937843,0.08354174857079061,0.4324430319757061
2,v2,tree_importance,39,4,0.22100574253365143,0.11113001617631721,0.4450621368213329
2,v3,tree_importance,39,11,0.21640129912841524,0.15750810594692968,0.4705534034092572
3,v1,all,111,2,0.17657863378900912,0.1353153505454723,0.47936835837823155
3,v2,all,111,1,0.1842300447564317,0.09221212638717016,0.45399104081536923
3,v3,all,111,1,0.17560866518238885,0.12078417521453884,0.47258775501607503
3,v1,corr_filtered,104,12,0.15813329079306743,0.1728053155823996,0.5073360123946661
3,v2,corr_filtered,104,14,0.15857995426208718,0.15423392002369585,0.49782698288080435
3,v3,corr_filtered,104,11,0.16240168358380605,0.15632144953347876,0.4969598829748364
3,v1,pca,6,8,0.17221239327747825,0.16674812072461295,0.49726786372356735
3,v2,pca,6,12,0.1673423574058779,0.17435729954436627,0.5035074710692442
3,v3,pca,6,2,0.17251231093814604,0.11278638463357876,0.47013703684771635
3,v1,tree_importance,39,3,0.1689855005469372,0.12065224890861989,0.4758333741808414
3,v2,tree_importance,39,1,0.1863501927231425,0.10967457763991206,0.4616621924583848
3,v3,tree_importance,39,2,0.18273143866348873,0.11310645847800312,0.4651875099072572
