model_version,feature_version,mean_nmae,mean_ficr,mean_score,groups,mean_features
v2,corr_filtered,0.19396870144435518,0.17285125642775231,0.4894412774916986,3,104.0
v1,corr_filtered,0.1902352386298584,0.16204388527863942,0.4859043233243905,3,104.0
v3,all,0.19743939999617655,0.14612786610250136,0.4743442330531624,3,111.0
v3,pca,0.19768937378278661,0.14408032791946088,0.47319547706833714,3,6.0
v2,pca,0.19948416005821237,0.13627251091716744,0.46839417542947753,3,6.0
v3,tree_importance,0.20171129281537206,0.1371432400600435,0.46771597362233575,3,39.0
v1,pca,0.20071249565806223,0.12767232591222233,0.46347991512708003,3,6.0
v3,corr_filtered,0.19857906832101202,0.11960587675421053,0.46051340421659925,3,104.0
v2,tree_importance,0.20636710505256714,0.11094281824832507,0.45228785659787896,3,39.0
v1,all,0.2013699798532866,0.105387059290797,0.4520085397187552,3,111.0
v1,tree_importance,0.19743704253292402,0.09985338144748486,0.45120816945728043,3,39.0
v2,all,0.2033373817016473,0.09553229566082838,0.4460974569795905,3,111.0
