group,model_name,n_features,best_epoch,nmae,ficr,score,mae,rmse
1,LGBM_full,127,139.0,0.08075620114132732,0.38769320422328774,0.6534685015409802,1744.3339446526702,2699.7339279505004
1,LGBM_selected,86,131.0,0.08044805309522884,0.39140143920052395,0.6554766930526476,1737.6779468569428,2693.7665352669324
1,Persistence_oracle_lag1,0,,0.05024997958560554,0.6254273159969086,0.7875886682056515,1085.3995590490797,1784.320592688183
2,LGBM_full,127,147.0,0.07958681008673137,0.42379229380277206,0.6721027418580203,1719.075097873397,2672.159097107216
2,LGBM_selected,86,249.0,0.07921893760677004,0.42989440351002844,0.6753377329516292,1711.1290523062328,2667.900383640605
2,Persistence_oracle_lag1,0,,0.047298229710206655,0.6682894683736778,0.8104956193317355,1021.641761740464,1694.9030407362065
3,LGBM_full,127,92.0,0.07203342128777597,0.3560310321780078,0.6419988054451159,1512.701847043295,2537.9147129331395
3,LGBM_selected,82,94.0,0.0713697883714368,0.36309346676783555,0.6458618391981994,1498.765555800173,2504.2283057360432
3,Persistence_oracle_lag1,0,,0.042440405704991524,0.6255677973264123,0.7915636958107104,891.2485198048222,1562.0357953628875
1,LSTM_v1_shap_selected,86,10.0,0.08542530001158607,0.3844178284983514,0.6494962642433826,1845.1864802502591,2794.4401262928973
1,LSTM_v2_shap_selected,86,19.0,0.09113217240250779,0.38492792536039067,0.6468978764789415,1968.4549238941686,2877.2254913067045
1,LSTM_v3_shap_selected,86,17.0,0.10332369887154907,0.36959713941885214,0.6331367202736515,2231.79189562546,3241.182769234441
2,LSTM_v1_shap_selected,86,10.0,0.08257243620537734,0.44306693544926395,0.6802472496219433,1783.5646220361505,2801.9853862782716
2,LSTM_v2_shap_selected,86,31.0,0.08603745425091273,0.4613485159184161,0.6876555308337517,1858.4090118197146,2920.291582317243
2,LSTM_v3_shap_selected,86,14.0,0.08704369022246244,0.4541000989947175,0.6835282043861275,1880.143708805189,2881.603927602173
3,LSTM_v1_shap_selected,82,6.0,0.08194045771086718,0.3985165089696033,0.6582880256293681,1720.7496119282105,2641.583221693596
3,LSTM_v2_shap_selected,82,16.0,0.07716788891160091,0.3760652651404858,0.6494486881144425,1620.5256671436189,2551.6761884802227
3,LSTM_v3_shap_selected,82,8.0,0.0805261187067535,0.36243383361215736,0.640953857452702,1691.0484928418234,2628.6876522480497
