group,feature,rank
1,gfs_u80,1
1,gfs_u850,2
1,gfs_ws_850,3
1,wind_power_density,4
1,u10,5
1,ws10_spatial_range,6
1,gfs_lapse_850,7
1,ldaps_ws_next3h_min,8
1,gfs_dswrf,9
1,gfs_ws_10,10
1,ldaps_ws_diff_3h,11
1,gfs_u500,12
1,gfs_ws_next3h_min,13
1,doy_sin_ldaps,14
1,doy_cos_ldaps,15
1,gfs_ws_500,16
1,gfs_gh500,17
1,gfs_t850,18
1,gfs_wd_850_sin,19
1,gfs_t2m,20
1,ws10,21
1,hour_sin_ldaps,22
1,blws,23
1,gfs_rh850,24
1,gfs_tp,25
1,sp,26
1,gfs_gust,27
1,rh2m,28
1,q2m,29
1,wd10_cos,30
1,dpt2m,31
1,gfs_shear_alpha,32
1,gfs_sp,33
1,wd10_sin,34
1,blh,35
1,target_hour_ldaps,36
1,gfs_wd_500,37
1,gfs_dlwrf,38
1,gfs_wd_100,39
1,gfs_hcc,40
1,gfs_ws_diff_3h,41
1,wd10,42
1,nd_lw,43
1,ldaps_ws_diff_1h,44
1,v10,45
1,gfs_pbl_v,46
1,gfs_wd_10_sin,47
1,gfs_vrate,48
1,gfs_wd_500_cos,49
1,gfs_v500,50
1,gfs_mcc,51
1,gfs_wd_10_cos,52
1,gfs_wind_power_density,53
1,gfs_wd_500_sin,54
1,ldaps_u_diff_1h,55
1,lead_hour,56
1,prmsl,57
1,gfs_prate,58
1,ldaps_wd_rotation,59
1,mcc,60
1,nd_sw,61
1,hcc,62
1,month_ldaps,63
1,gfs_lcc,64
1,gfs_wd_850,65
1,gfs_gust_factor,66
1,gfs_wd_850_cos,67
1,gfs_v850,68
1,gfs_v10,69
1,gfs_wd_10,70
1,gfs_ws_diff_1h,71
1,gfs_u_diff_1h,72
1,gfs_tcc,73
1,gfs_wd_rotation,74
1,gfs_rh2m,75
1,gfs_wd_pbl_cos,76
1,ncpcp,77
1,hour_cos_ldaps,78
1,lcc,79
1,u50_range,80
1,gfs_ws_ramp_rate,81
1,v50_range,82
1,ldaps_ws_ramp_rate,83
1,gfs_wd_pbl,84
1,gfs_v_diff_1h,85
1,vlcdc,86
2,gfs_ws_850,1
2,gfs_u850,2
2,u10,3
2,ldaps_ws_next3h_max,4
2,gfs_u80,5
2,ws10,6
2,ws10_spatial_range,7
2,wind_power_density,8
2,gfs_lapse_850,9
2,gfs_dswrf,10
2,gfs_ws_next3h_min,11
2,gfs_ws_10,12
2,doy_sin_ldaps,13
2,gfs_u500,14
2,doy_cos_ldaps,15
2,gfs_shear_alpha,16
2,gfs_v10,17
2,hour_sin_ldaps,18
2,gfs_ws_500,19
2,gfs_t850,20
2,target_hour_ldaps,21
2,ldaps_ws_diff_3h,22
2,gfs_wd_10_cos,23
2,wd10_cos,24
2,gfs_tp,25
2,ldaps_ws_diff_1h,26
2,blws,27
2,gfs_gh500,28
2,month_ldaps,29
2,dpt2m,30
2,rh2m,31
2,gfs_rh850,32
2,gfs_q2m,33
2,gfs_t2m,34
2,nd_sw,35
2,v10,36
2,lead_hour,37
2,gfs_pbl_v,38
2,gfs_gust,39
2,gfs_wd_500_sin,40
2,gfs_v500,41
2,gfs_prmsl,42
2,sp,43
2,gfs_ws_diff_3h,44
2,gfs_wd_850_sin,45
2,blh,46
2,gfs_v850,47
2,hour_cos_ldaps,48
2,gfs_dlwrf,49
2,gfs_wd_850,50
2,wd10_sin,51
2,gfs_wd_500_cos,52
2,gfs_t_dew_diff,53
2,gfs_wd_10_sin,54
2,ldaps_v_diff_1h,55
2,gfs_wd_500,56
2,ldaps_wd_rotation,57
2,lcc,58
2,gfs_wd_850_cos,59
2,gfs_wind_power_density,60
2,wd10,61
2,gfs_wd_10,62
2,gfs_ws_ramp_rate,63
2,nd_lw,64
2,gfs_lcc,65
2,gfs_wd_80,66
2,gfs_ws_diff_1h,67
2,gfs_hcc,68
2,gfs_v_diff_1h,69
2,gfs_gust_factor,70
2,mcc,71
2,hcc,72
2,gfs_wd_rotation,73
2,gfs_prate,74
2,gfs_u_diff_1h,75
2,gfs_vrate,76
2,vlcdc,77
2,gfs_wd_pbl,78
2,ldaps_u_diff_1h,79
2,gfs_mcc,80
2,gfs_tcc,81
2,v50_range,82
2,gfs_wd_pbl_cos,83
2,ncpcp,84
2,u50_range,85
2,ldaps_ws_ramp_rate,86
3,gfs_u100,1
3,ldaps_ws_next3h_max,2
3,gfs_ws_850,3
3,wind_power_density,4
3,gfs_u850,5
3,ws10,6
3,u10,7
3,gfs_v10,8
3,gfs_ws_10,9
3,gfs_lapse_850,10
3,gfs_ws_next3h_min,11
3,ws10_spatial_range,12
3,doy_sin_ldaps,13
3,gfs_dswrf,14
3,gfs_u500,15
3,ldaps_ws_diff_3h,16
3,gfs_wd_pbl_cos,17
3,sp,18
3,gfs_dlwrf,19
3,t_dew_diff,20
3,prmsl,21
3,gfs_wd_10_cos,22
3,gfs_ws_500,23
3,ldaps_ws_diff_1h,24
3,gfs_gh500,25
3,hour_sin_ldaps,26
3,gfs_tp,27
3,wd10_sin,28
3,gfs_wd_10,29
3,hour_cos_ldaps,30
3,gfs_v500,31
3,gfs_wd_500_sin,32
3,gfs_gust,33
3,dpt2m,34
3,gfs_wd_100,35
3,gfs_wd_500_cos,36
3,doy_cos_ldaps,37
3,blws,38
3,gfs_q2m,39
3,nd_lw,40
3,gfs_pbl_v,41
3,t2m,42
3,gfs_tcc,43
3,gfs_rh850,44
3,gfs_hcc,45
3,gfs_shear_alpha,46
3,gfs_ws_diff_3h,47
3,u50_range,48
3,wd10_cos,49
3,gfs_v_diff_1h,50
3,blh,51
3,gfs_wd_850_sin,52
3,gfs_wd_850,53
3,ldaps_wd_rotation,54
3,gfs_v850,55
3,gfs_wd_500,56
